                10ten.txt         1one.txt          2two.txt          3three.txt        4four.txt         5five.txt         6six.txt          7seven.txt        8eight.txt        9nine.txt         
_biographia	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.117503982517   0.000000000000   
a.      	|  0.000000000000   0.142909147931   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
abraham 	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.129154899699   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
access  	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.107556467389   0.000000000000   0.000000000000   0.000000000000   
accord  	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.129154899699   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
acquisit	|  0.095553529070   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
ad      	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.153665537573   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
address 	|  0.000000000000   0.000000000000   0.243721771802   0.093220228149   0.228571182923   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
administr	|  0.000000000000   0.000000000000   0.163851088328   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
advanc  	|  0.000000000000   0.000000000000   0.000000000000   0.125341578829   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
affection	|  0.000000000000   0.142909147931   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
age     	|  0.081229229478   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.099889120301   0.000000000000   
alchemi 	|  0.095553529070   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
alfr    	|  0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.000000000000   0.089120352560   
